iter	Logloss
0	0.6578341114
1	0.6228283733
2	0.5932334848
3	0.5633053423
4	0.5405461318
5	0.5219364296
6	0.5014270082
7	0.4890606939
8	0.4736182284
9	0.4564773144
10	0.4466420907
11	0.435417331
12	0.4238715658
13	0.4150295128
14	0.4027907183
15	0.3932364068
16	0.3872113909
17	0.3782578812
18	0.3712339855
19	0.3654596757
20	0.3582237918
21	0.3536187516
22	0.3479332437
23	0.3414494002
24	0.3363441675
25	0.3326595592
26	0.3284561002
27	0.325049835
28	0.3200515695
29	0.3174116693
30	0.3140355324
31	0.3100115718
32	0.3075283855
33	0.3044405567
34	0.3021499997
35	0.2970740649
36	0.2935586527
37	0.2909841992
38	0.2888064482
39	0.2871080515
40	0.2846148225
41	0.2824566381
42	0.2801889433
43	0.2782674257
44	0.2764455056
45	0.2742955214
46	0.2726838508
47	0.2702398235
48	0.2682131813
49	0.2665523088
50	0.2651299198
51	0.2630007997
52	0.2615800715
53	0.2606867317
54	0.2584072295
55	0.2574202349
56	0.2553049723
57	0.2533724519
58	0.2521778029
59	0.2504548313
60	0.2490788674
61	0.2479986593
62	0.2461375541
63	0.2446298924
64	0.2424946999
65	0.2409380699
66	0.2390204709
67	0.2379661612
68	0.2360790538
69	0.2347325954
70	0.2326341486
71	0.23142572
72	0.2300166954
73	0.228353176
74	0.2266467347
75	0.2261799404
76	0.2241143986
77	0.2224614409
78	0.2210231444
79	0.2197486981
80	0.2179898891
81	0.216996952
82	0.2153792608
83	0.2138244603
84	0.2124253487
85	0.2111137416
86	0.2101477279
87	0.2091930026
88	0.208267173
89	0.2070212591
90	0.205736316
91	0.2048645798
92	0.2036915734
93	0.2025617872
94	0.2019126269
95	0.2012504655
96	0.1999888647
97	0.1985196483
98	0.1971025013
99	0.1956783736
