iter	Passed	Remaining
0	7	762
1	14	693
2	19	639
3	25	621
4	31	602
5	37	585
6	43	581
7	49	569
8	56	571
9	63	568
10	69	562
11	78	574
12	86	579
13	94	580
14	100	572
15	109	573
16	116	570
17	124	567
18	131	559
19	139	558
20	147	553
21	153	545
22	160	538
23	169	535
24	175	527
25	184	523
26	190	516
27	197	508
28	203	498
29	210	490
30	217	484
31	225	478
32	232	472
33	239	465
34	246	458
35	253	451
36	260	443
37	266	434
38	273	428
39	280	420
40	288	415
41	295	407
42	303	402
43	309	394
44	316	386
45	322	378
46	329	371
47	336	364
48	342	356
49	349	349
50	356	342
51	363	335
52	371	329
53	380	324
54	387	316
55	393	309
56	399	301
57	406	294
58	415	289
59	423	282
60	431	275
61	438	268
62	444	261
63	454	255
64	460	247
65	467	241
66	474	233
67	482	226
68	488	219
69	494	211
70	502	205
71	508	197
72	515	190
73	521	183
74	529	176
75	535	169
76	543	162
77	550	155
78	558	148
79	565	141
80	576	135
81	581	127
82	590	120
83	596	113
84	603	106
85	611	99
86	620	92
87	626	85
88	632	78
89	638	70
90	646	63
91	654	56
92	661	49
93	668	42
94	675	35
95	682	28
96	689	21
97	696	14
98	703	7
99	709	0
