iter	Passed	Remaining
0	11	11327
1	30	15192
2	45	15184
3	63	15774
4	81	16293
5	104	17341
6	123	17496
7	142	17695
8	156	17265
9	172	17035
10	184	16623
11	200	16512
12	213	16210
13	232	16367
14	249	16407
15	266	16413
16	283	16378
17	364	19888
18	395	20440
19	408	20032
20	419	19554
21	432	19233
22	445	18919
23	454	18494
24	465	18152
25	476	17863
26	486	17540
27	498	17297
28	511	17126
29	526	17012
30	539	16852
31	547	16566
32	563	16507
33	575	16345
34	586	16177
35	598	16016
36	612	15929
37	627	15877
38	641	15802
39	652	15667
40	666	15587
41	678	15486
42	690	15367
43	702	15255
44	713	15142
45	727	15078
46	740	15015
47	752	14923
48	762	14790
49	773	14696
50	783	14579
51	793	14458
52	803	14356
53	812	14236
54	823	14142
55	834	14075
56	846	14009
57	856	13911
58	868	13858
59	880	13801
60	892	13740
61	984	14896
62	1010	15030
63	1021	14934
64	1031	14830
65	1040	14720
66	1050	14628
67	1060	14531
68	1070	14443
69	1080	14350
70	1088	14243
71	1099	14170
72	1109	14089
73	1119	14005
74	1129	13927
75	1137	13833
76	1148	13766
77	1157	13681
78	1166	13598
79	1177	13537
80	1189	13498
81	1201	13452
82	1215	13434
83	1229	13402
84	1242	13379
85	1255	13342
86	1265	13278
87	1277	13243
88	1289	13199
89	1301	13154
90	1313	13120
91	1325	13084
92	1341	13083
93	1351	13021
94	1360	12962
95	1375	12953
96	1384	12892
97	1394	12831
98	1403	12773
99	1413	12720
100	1423	12669
101	1433	12623
102	1444	12575
103	1455	12537
104	1463	12477
105	1474	12433
106	1486	12403
107	1495	12352
108	1506	12312
109	1516	12272
110	1527	12235
111	1538	12201
112	1548	12158
113	1559	12118
114	1571	12097
115	1582	12062
116	1592	12019
117	1604	11993
118	1616	11970
119	1626	11926
120	1640	11917
121	1653	11898
122	1665	11878
123	1674	11831
124	1686	11805
125	1695	11760
126	1704	11713
127	1714	11679
128	1722	11633
129	1734	11607
130	1745	11579
131	1755	11540
132	1765	11510
133	1774	11471
134	1783	11429
135	1793	11391
136	1801	11348
137	1811	11312
138	1819	11268
139	1829	11238
140	1838	11201
141	1850	11178
142	1860	11151
143	1870	11117
144	1883	11104
145	1894	11078
146	1903	11045
147	1914	11023
148	1928	11013
149	1949	11048
150	1964	11046
151	1985	11075
152	1997	11059
153	2009	11040
